asset_id,A001,A002,A003,A004,A005,A006,A007,A008,A009,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050
A001,0.039732993,0.001044442,0.001159993,0.002695271,0.023175832,0.002130208,0.000436113,0.023925827,0.001172624,0.001544657,0.000885381,0.020575022,0.002557048,0.001178052,0.001850603,0.013459536,0.000985648,0.000661712,0.005963787,0.001269892,0.003254509,0.003876011,0.021867286,0.003047735,0.01790459,0.000982176,0.000717717,8.47632E-05,0.001187045,0.002783699,0.000643191,0.002458443,0.002382328,0.002419161,0.002635644,0.001419423,0.002320761,0.001379941,0.000311475,0.0043581,0.003655993,0.001175035,0.000784596,0.001771937,0.003700609,0.002233974,0.001668485,8.97038E-05,0.00297683,0.003888357
A002,0.001044442,0.003144384,0.001998247,0.001003059,0.000187005,0.00050147,1.78275E-05,0.000910447,0.000576301,0.002040717,0.001755949,0.000392795,0.000851785,0.000284762,0.001267791,0.001207948,8.61522E-05,0.000351859,0.000409736,0.001058005,0.001313933,0.000726652,0.001479763,0.000830699,0.001514235,0.001645892,0.002033639,0.00220614,0.001987358,0.000928455,0.000299706,0.001441953,0.001000732,0.00081506,0.000306929,0.001666229,0.00105767,0.000215424,-6.64098E-06,0.000914951,0.001292322,0.000219604,0.002052708,0.000594696,0.000764253,0.002229658,0.000608515,1.13306E-05,0.000373457,0.001088681
A003,0.001159993,0.001998247,0.00345985,0.001202582,0.001342686,0.001012702,5.39774E-05,0.001622094,0.000287507,0.001861693,0.002002128,0.001941822,0.000661598,0.000300797,0.001513462,0.001712847,0.000145702,0.000133805,0.001382639,0.00088173,0.001337098,0.001117868,0.001185543,0.00129718,0.000811291,0.001631951,0.001893178,0.002115364,0.002167653,0.000532443,0.000313977,0.000110661,0.000850174,0.000330287,0.000488808,0.001802595,0.000783276,0.001169973,0.000127007,0.000176708,0.001323942,0.000247006,0.001571071,0.000839236,0.001206647,0.002310715,0.000746596,5.20647E-05,0.001681609,0.001044346
A004,0.002695271,0.001003059,0.001202582,0.029908317,0.002056742,0.000813939,0.000215571,0.00387096,0.002277343,0.001832395,0.000941436,0.001367957,0.002925486,0.000995904,0.001160025,0.002972318,0.000102347,0.000729145,0.015436689,0.015225718,0.014909787,0.0020029,0.003295962,0.021562415,0.003659021,0.000755416,0.001384665,0.000876609,-0.000362624,0.015703505,0.000743993,0.001903885,0.000582992,0.003209526,0.000794426,0.001361972,0.001504039,0.000996235,0.000309034,0.019770531,0.018022645,0.000627148,0.00075023,0.003254021,0.004445666,0.000544212,0.000670199,0.000145163,0.017194185,0.017301916
A005,0.023175832,0.000187005,0.001342686,0.002056742,0.038244181,0.001648525,6.49458E-05,0.023641979,0.001200635,1.7686E-05,0.000370171,0.026790086,0.001816392,0.000827439,0.000163825,0.022099776,0.00105268,0.001145805,0.003885739,0.00323432,0.004702252,0.003590611,0.015340215,0.004249728,0.025234418,0.001288658,0.000696522,0.001062059,0.001101219,0.001388211,0.000891849,0.001208552,0.003373075,0.002568621,0.002562858,0.00099865,0.002082211,0.003598091,0.000487638,0.002725079,0.003458855,0.000591631,0.000179938,0.003380371,0.002017235,0.001261649,0.001051066,0.000205455,0.004345466,0.00232115
A006,0.002130208,0.00050147,0.001012702,0.000813939,0.001648525,0.014525392,0.000191864,0.00326744,0.007566762,-0.000143274,0.000710011,0.003111048,0.007967674,0.000763751,0.000715692,0.001058748,0.000202341,0.000179959,0.004272096,0.002069904,0.002706092,0.003357055,0.002002405,0.001801407,0.00211206,0.000329926,0.000532228,0.0011401,0.00058491,0.001296479,0.000458624,0.008845993,0.008393882,0.008899895,0.00850737,0.000421328,0.007990171,0.002434388,0.000245951,0.001275993,0.003107195,0.001017005,0.001093831,0.007483129,0.002925755,0.000796257,0.009366736,0.0001607,0.001284427,0.002566054
A007,0.000436113,1.78275E-05,5.39774E-05,0.000215571,6.49458E-05,0.000191864,0.000146712,0.000369116,0.000119041,3.25067E-05,6.22481E-05,0.000249552,0.000122561,5.3131E-05,-1.23857E-05,0.000339664,6.09173E-05,2.26553E-05,0.00031487,0.000238142,0.000158896,0.000156363,0.000287746,0.000169332,-0.000100128,4.2746E-05,3.34026E-05,3.97473E-05,6.68619E-05,0.000236808,4.98413E-05,0.000199088,0.00015812,0.000157642,0.000196233,9.30322E-05,0.00022444,0.00019319,0.000157702,0.000220919,0.00018232,1.00219E-05,9.94659E-06,7.01629E-05,0.000191219,4.10272E-05,0.000274824,7.60174E-05,0.000147886,0.00025669
A008,0.023925827,0.000910447,0.001622094,0.00387096,0.023641979,0.00326744,0.000369116,0.039599563,0.002042422,0.001934599,0.000845586,0.031858828,0.001480104,0.000301908,0.001352931,0.020809762,0.000612792,0.000271323,0.002794833,0.002056186,0.003628517,0.004815167,0.029664421,0.0020088,0.017494921,0.001547088,0.001092325,0.000604748,0.00068887,0.001263153,0.000726139,0.002947081,0.001292579,0.003922389,0.002190205,0.001114425,0.003060348,0.001734394,0.000345422,0.004547126,0.001241257,0.000493023,0.000945924,0.002071251,0.004588028,0.001765855,0.001954996,0.000260282,0.006462231,0.00667602
A009,0.001172624,0.000576301,0.000287507,0.002277343,0.001200635,0.007566762,0.000119041,0.002042422,0.012750105,0.000802526,0.000785647,0.002978254,0.010979442,0.000389589,0.000759981,-0.000133356,0.000393481,0.000743312,0.001567073,0.003165554,0.001019879,0.002373737,0.001914974,0.002184293,0.001311911,0.000145767,0.000583994,0.000456081,0.000634322,0.001294939,0.00026757,0.005515409,0.007451337,0.007875071,0.010399893,0.000939918,0.006373039,0.00183035,0.00013016,0.002075939,0.002091577,0.000404338,0.000600369,0.008723301,0.000497329,0.001061954,0.008628297,0.000106447,0.002197143,0.000957625
A010,0.001544657,0.002040717,0.001861693,0.001832395,1.7686E-05,-0.000143274,3.25067E-05,0.001934599,0.000802526,0.005109011,0.002986808,0.001494426,0.000695007,0.000294149,0.002501332,0.001636646,0.000191927,0.000159427,0.001772836,0.00136684,0.000807803,0.000361711,0.002044226,0.001596298,0.000139052,0.002194204,0.002829271,0.002469323,0.002279659,0.001952459,0.000284609,0.000921354,0.001743251,0.001457477,0.0012329,0.003001881,0.000838483,0.00044291,0.000162764,0.000652697,0.000854633,7.81747E-05,0.002863281,0.000601951,0.001219812,0.002667583,0.001195136,8.06319E-05,0.001783746,0.001991501
A011,0.000885381,0.001755949,0.002002128,0.000941436,0.000370171,0.000710011,6.22481E-05,0.000845586,0.000785647,0.002986808,0.004110861,0.002496474,0.000254879,0.000272762,0.002193085,0.001300698,0.00027458,0.000330852,0.000704681,0.000755661,0.001197951,0.000977145,0.000487168,0.00075177,0.00058422,0.0019131,0.002291974,0.002376912,0.002207639,0.00126229,5.35026E-05,0.000616297,0.000941722,0.000399916,7.27945E-05,0.002258642,0.000779038,0.000388557,4.98758E-05,0.000260758,0.00064402,5.95045E-05,0.002125611,0.000790205,0.000176348,0.00242605,0.001077176,0.000114285,0.00028612,0.0010579
A012,0.020575022,0.000392795,0.001941822,0.001367957,0.026790086,0.003111048,0.000249552,0.031858828,0.002978254,0.001494426,0.002496474,0.041744412,0.000850348,0.000773265,0.001601033,0.022057266,0.000530008,0.00072456,0.00472233,0.002407995,0.003190157,0.003279657,0.021811644,0.006104837,0.021926563,0.001365905,0.001311804,0.001770128,0.002004639,0.001275938,0.000470021,0.001851761,0.004398614,0.002126962,0.00528981,0.001021163,0.002920342,0.002286558,0.0001765,0.004570965,-0.000602646,0.000377677,0.001354707,0.003045235,0.006121445,0.001502142,0.004107292,0.00012531,0.004425085,0.004703124
A013,0.002557048,0.000851785,0.000661598,0.002925486,0.001816392,0.007967674,0.000122561,0.001480104,0.010979442,0.000695007,0.000254879,0.000850348,0.014473812,0.000704377,0.000974617,0.001581393,0.000491387,0.000404217,0.004831555,0.003221727,0.001202162,0.000764135,0.001096872,0.002641083,0.003004041,0.00034816,0.000959511,0.001783233,0.000925403,0.002366634,0.000472371,0.007395005,0.005977811,0.009526291,0.01028041,-3.622E-05,0.009061508,0.00102958,0.000144468,0.001618323,0.0028491,0.00029729,0.000584342,0.009495197,0.00115371,0.000825987,0.008721166,0.000106768,0.002585355,0.003383085
A014,0.001178052,0.000284762,0.000300797,0.000995904,0.000827439,0.000763751,5.3131E-05,0.000301908,0.000389589,0.000294149,0.000272762,0.000773265,0.000704377,0.00154729,0.000354912,0.00118986,0.000822076,0.001155444,0.000891975,0.000661084,0.001238247,-0.000260923,0.000743533,0.000765748,0.000569688,9.52249E-05,0.000204227,0.000249775,0.000106929,0.000263421,0.000659162,0.000481751,0.000308978,0.000711733,0.000352212,0.000214597,0.00049514,0.000559277,5.32002E-05,0.000872318,0.000978158,0.00070705,7.63435E-05,0.000359523,0.00089516,0.000296684,0.000795873,2.9322E-05,0.000655067,0.000737384
A015,0.001850603,0.001267791,0.001513462,0.001160025,0.000163825,0.000715692,-1.23857E-05,0.001352931,0.000759981,0.002501332,0.002193085,0.001601033,0.000974617,0.000354912,0.003416121,0.001097231,6.42691E-05,0.000155285,0.000448987,0.000359589,0.000625801,0.00134643,0.000746996,-0.00024497,0.001006921,0.000913787,0.0018677,0.001569114,0.002237334,-0.000153794,6.94134E-05,0.000841906,0.001489387,0.000836319,0.000803346,0.002028811,0.000554789,0.0001899,8.06846E-05,0.001301205,0.000799902,0.00022323,0.002277454,0.000237481,0.00039405,0.001849496,0.000663338,3.9267E-05,0.001111352,0.000724437
A016,0.013459536,0.001207948,0.001712847,0.002972318,0.022099776,0.001058748,0.000339664,0.020809762,-0.000133356,0.001636646,0.001300698,0.022057266,0.001581393,0.00118986,0.001097231,0.040633081,0.000874188,0.000467119,0.005054948,0.001801692,0.002686563,0.002386353,0.016629395,0.003599717,0.022818585,0.002115462,0.001278727,0.00127008,0.002765338,0.002437929,0.000845136,0.001594731,0.001361179,0.001781396,0.002441353,0.001383524,0.001773647,0.002293557,0.000626271,0.001502992,0.004146312,0.001163179,0.000665699,-2.78373E-05,0.0024531,0.001779392,0.002194194,0.000149611,0.002609263,0.002221332
A017,0.000985648,8.61522E-05,0.000145702,0.000102347,0.00105268,0.000202341,6.09173E-05,0.000612792,0.000393481,0.000191927,0.00027458,0.000530008,0.000491387,0.000822076,6.42691E-05,0.000874188,0.00132708,0.001246781,0.000896044,0.00047321,0.000555699,0.000944432,0.000829611,0.00092913,0.000314464,0.000233688,0.000198437,0.000302136,0.000141218,0.000933464,0.000708075,0.000392325,-6.20009E-05,0.000469677,0.000581302,0.000178338,0.00045504,0.000706288,6.66398E-05,0.000628716,0.000731053,0.000813226,0.000190318,0.000595816,0.000274966,0.00022819,0.000231365,4.697E-05,0.000825516,0.000144449
A018,0.000661712,0.000351859,0.000133805,0.000729145,0.001145805,0.000179959,2.26553E-05,0.000271323,0.000743312,0.000159427,0.000330852,0.00072456,0.000404217,0.001155444,0.000155285,0.000467119,0.001246781,0.001998146,0.001001593,0.000372639,0.000717428,0.000407488,0.000960442,0.000870556,0.000671123,0.0002077,0.000179625,0.000155798,0.000184158,0.000137274,0.001087586,0.000245048,0.000464661,0.000570456,0.000398403,0.000349991,0.000656278,0.00048829,3.39997E-05,0.000893719,0.000958997,0.000827431,0.000320865,0.00098571,0.000413,0.000217632,0.000479561,9.25151E-05,0.00096059,0.000532458
A019,0.005963787,0.000409736,0.001382639,0.015436689,0.003885739,0.004272096,0.00031487,0.002794833,0.001567073,0.001772836,0.000704681,0.00472233,0.004831555,0.000891975,0.000448987,0.005054948,0.000896044,0.001001593,0.034349649,0.019701768,0.016846384,0.000575146,0.002025943,0.019181264,0.003539427,-0.000100944,0.001417046,0.002228659,0.001444241,0.019309144,0.000793974,0.00240926,0.002498966,0.002965168,0.003107003,0.000705842,0.002599596,0.002873917,0.000334601,0.018246967,0.018110034,0.001132296,0.0012113,0.002726203,0.002277828,0.001697655,0.001214703,0.000337871,0.018200462,0.019736132
A020,0.001269892,0.001058005,0.00088173,0.015225718,0.00323432,0.002069904,0.000238142,0.002056186,0.003165554,0.00136684,0.000755661,0.002407995,0.003221727,0.000661084,0.000359589,0.001801692,0.00047321,0.000372639,0.019701768,0.03018926,0.023011499,0.001985261,0.003074776,0.018569916,0.005166475,0.00060693,0.00160435,0.000666021,0.000641321,0.021328082,0.0008017,0.001411671,0.002589006,0.002311499,0.003274232,0.001800309,0.002549676,0.001058129,0.000379805,0.016444335,0.018281673,0.000788106,0.001358314,0.002288338,0.001811249,0.001472092,0.002366533,0.000250733,0.017254709,0.012144619
A021,0.003254509,0.001313933,0.001337098,0.014909787,0.004702252,0.002706092,0.000158896,0.003628517,0.001019879,0.000807803,0.001197951,0.003190157,0.001202162,0.001238247,0.000625801,0.002686563,0.000555699,0.000717428,0.016846384,0.023011499,0.032981079,0.000295213,0.003032912,0.022366808,0.001683944,0.00106687,0.001449848,0.00125798,0.001391588,0.022511062,0.000309605,0.000938504,0.002940365,0.0023966,0.001421351,0.000714659,0.003074637,0.000678995,0.000321287,0.01809922,0.023697202,0.000642097,0.000877436,0.001071861,0.001884693,0.000922734,0.001872209,0.000110056,0.019285079,0.021391623
A022,0.003876011,0.000726652,0.001117868,0.0020029,0.003590611,0.003357055,0.000156363,0.004815167,0.002373737,0.000361711,0.000977145,0.003279657,0.000764135,-0.000260923,0.00134643,0.002386353,0.000944432,0.000407488,0.000575146,0.001985261,0.000295213,0.018553823,0.00172814,0.000550942,0.004623112,0.000352558,0.00096671,0.00108825,0.000748198,0.000847054,0.000388718,0.001947495,0.002204701,0.001809799,0.002993776,0.001036601,0.001886267,0.002981705,2.32642E-06,0.001890219,0.000759797,0.000733979,0.000658514,0.001121258,0.011071291,0.000745705,0.001090716,0.000240869,0.002250157,0.001158504
A023,0.021867286,0.001479763,0.001185543,0.003295962,0.015340215,0.002002405,0.000287746,0.029664421,0.001914974,0.002044226,0.000487168,0.021811644,0.001096872,0.000743533,0.000746996,0.016629395,0.000829611,0.000960442,0.002025943,0.003074776,0.003032912,0.00172814,0.040678577,0.001558333,0.019656993,0.001273919,0.00201803,0.00169878,0.000905669,0.002704127,0.001071088,0.003304903,0.001903546,0.002720615,0.0014914,0.001338164,0.000434377,0.001734441,0.000555709,0.002458479,0.004379402,0.001122933,0.000962517,0.001571116,0.002767599,0.001537849,0.002019734,0.000242902,0.006668758,0.00411107
A024,0.003047735,0.000830699,0.00129718,0.021562415,0.004249728,0.001801407,0.000169332,0.0020088,0.002184293,0.001596298,0.00075177,0.006104837,0.002641083,0.000765748,-0.00024497,0.003599717,0.00092913,0.000870556,0.019181264,0.018569916,0.022366808,0.000550942,0.001558333,0.033612677,0.00430562,0.000903908,0.001261906,0.001561333,0.001530299,0.019124147,0.00049024,0.001257396,0.002143119,0.002052282,0.002547123,0.001561706,0.002473192,0.001564498,0.000195604,0.019524621,0.014566038,0.000413673,0.001265977,0.002373739,0.003778032,0.001487908,0.001470625,0.000285722,0.0168353,0.017795385
A025,0.01790459,0.001514235,0.000811291,0.003659021,0.025234418,0.00211206,-0.000100128,0.017494921,0.001311911,0.000139052,0.00058422,0.021926563,0.003004041,0.000569688,0.001006921,0.022818585,0.000314464,0.000671123,0.003539427,0.005166475,0.001683944,0.004623112,0.019656993,0.00430562,0.036272501,0.00063998,0.000796517,0.00146831,0.001861022,0.002627388,0.000218201,0.002592372,0.001886123,0.002506415,0.001416289,0.001410245,0.002432509,0.002031081,0.000127468,0.001868692,0.003781299,0.000965652,0.001972581,0.001199268,0.000401159,0.00081797,0.003255088,0.000188867,0.003529781,0.003387073
