A001,A002,A003,A004,A005,A006,A007,A008,A009,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050
-0.008545917,0.003463143,0.001438772,-0.000706029,-0.003322448,0.000185524,0.000606471,-0.005847164,0.000450452,-0.000206964,0.002069532,-0.003316644,-0.006917394,-0.000962347,0.000183284,-0.009543642,-0.000476497,0.000682249,-0.010308643,-0.002459688,-0.004912617,0.018891898,-0.000425272,-0.014905192,0.001527511,0.001420111,0.001960112,0.007293301,-0.000402583,-0.018303495,-0.001170086,-0.001191132,0.002682528,-0.005121766,0.004983477,0.003297132,-0.002520552,0.000943145,0.001191049,-0.008748696,0.0009951,-0.000698862,0.00429324,0.001248267,0.007392877,-0.002041566,-0.001732409,0.000284093,-0.008480837,-0.007759182
0.00328455,0.000153835,-0.001920138,-0.001982946,0.004606018,0.000792254,-0.000114831,-0.007985628,-0.003489325,-3.8147E-05,0.00093727,-0.00134071,0.002144751,0.007324913,0.000581229,0.011064392,0.005321645,0.004859239,0.006631115,0.013193223,0.000452823,0.00460876,-0.008261085,-0.00435097,0.010746373,-0.003183863,0.000654235,-0.003166438,-0.002718588,-0.000616156,0.002577778,0.003637077,-0.004740447,0.00439953,0.001708653,0.000925632,0.006628447,-0.007348141,4.77268E-05,-0.007598478,0.010623488,0.000868856,-0.0006273,0.008862367,0.001622772,0.002240659,0.002290331,-8.90737E-05,-0.003560709,-0.008022789
-0.011580462,0.000220727,-9.37082E-05,0.017884818,-0.008777944,-0.002001714,-3.27232E-05,-0.007745364,-0.002529575,0.001427312,0.000871826,-0.000504273,-0.007117622,0.001125745,0.000206041,0.006914894,-0.001239259,-0.000534912,0.00997395,0.005596562,0.01434203,-0.001359929,-0.015107199,0.024838525,-0.0062134,-0.002465977,-0.004582238,-0.003416722,0.002383044,0.008243363,-0.004020396,-0.003025446,0.005586461,0.005737594,-0.003220988,0.005223232,-0.003461339,-0.001134185,0.000113959,0.013527655,0.014585799,-0.00401991,0.002454184,0.004390774,0.006165592,-0.002376897,-0.002921425,-1.64048E-06,0.010333948,0.006565581
-0.005599478,-0.004220373,0.000158861,0.005858844,-0.005998348,0.004491458,0.001232095,0.010778249,-0.004739628,0.00174069,-0.002281791,0.000252597,0.0022186,0.001704081,-0.001699928,0.002320782,0.00112448,0.000762042,0.001763019,-0.010441271,-0.005427451,-0.005260851,-0.000578178,-0.003115343,-0.007571181,-0.001647236,0.000435432,0.001271676,-0.00710766,-0.006239126,0.000945478,0.02130929,-0.004693164,0.012233646,0.006974763,-0.004948737,0.011877249,0.004950127,0.000939754,-0.004699879,-0.000154741,-0.001367598,-0.005455498,0.004068466,-0.002998896,-0.001164754,0.015232911,0.001428789,-0.001127007,0.005915947
0.01852786,0.003020277,-0.004615343,-0.00813966,-0.002052115,-0.008895755,0.000243168,0.00823316,-0.000447417,0.00047214,1.28522E-05,0.005216236,0.003298328,-0.000774354,0.001220248,-0.00575694,-0.001260877,0.002024766,-0.003231457,-0.011779728,0.006959289,-0.014208653,0.010437416,0.000203364,-0.0084573,-0.002769914,-0.003871917,0.000314561,-0.002361656,-0.010671475,-0.000763939,-0.007376932,-0.006976962,-0.003151212,-0.010514888,-0.004325845,-0.002001574,-0.003283399,-0.000363374,-0.004968392,-0.004748637,-0.003798668,-0.001434732,-0.01256399,0.004355771,-0.002128263,-0.004994108,-0.000335884,-0.002604071,0.000608285
0.024662469,0.00057461,-8.05096E-06,0.016729378,0.004012614,-0.010655745,-7.97169E-07,-0.001890859,-0.016543673,0.002413666,-0.001706669,-0.008396234,-0.016805303,0.001213842,-0.002744394,-0.002076327,0.002346406,0.001527688,0.012959077,-0.001484754,-0.0018126,-0.010143751,0.009130102,0.020818399,0.008763647,0.002459315,-0.001337783,-0.00069716,0.00382097,-0.001581752,-0.001236526,-0.014881904,-0.009244367,-0.013347695,-0.02031576,0.006085257,-0.018468191,-0.001450484,0.000930288,-0.00177655,0.003334037,0.004674355,0.005405909,-0.019124207,0.003042299,-0.0027569,-0.015143765,0.000290097,-0.001230513,0.012317877
0.020348047,0.004633514,0.007646573,0.009244028,0.004990768,0.006816847,0.001659846,0.01894657,0.003206413,0.002653889,0.003661453,0.014604563,0.004271436,-0.00154815,0.007270921,0.015695233,-0.001004086,-0.002177256,-0.00148219,0.008298928,0.011291927,0.020425537,0.010792133,0.014569429,0.007048803,0.005205571,0.003538567,0.002838531,0.006398851,-0.006384598,0.000219391,0.01218269,0.009340959,0.010209635,0.010046171,-0.000598713,0.016504718,0.016130732,0.001703464,0.013877402,-0.010625679,9.02894E-05,0.00316197,0.002195402,0.010493296,0.001452312,0.012044598,0.001174303,0.005326254,-0.001738613
-0.001741385,-0.002112365,0.000547421,-0.003522813,-0.001278049,0.010143498,0.001077333,-0.002235144,0.003524542,-0.000604557,0.005285597,0.010062339,0.003171256,0.000961889,-0.003168486,0.005430932,9.62679E-05,7.75296E-05,-4.49063E-05,0.001356592,0.006764725,0.002028427,0.005489851,0.009027456,-0.000368301,-7.23159E-05,-0.001786925,0.001783989,-0.001537262,0.007638289,0.001943851,0.007702623,0.007354474,0.003816884,0.007260182,-0.005644919,0.013717592,0.008532177,0.000533099,0.010624793,-0.01412466,-0.001108733,-0.004630648,0.005379267,0.004020984,-0.001879625,0.015702775,0.000475107,0.013518299,0.00163566
0.01739157,0.003673063,-0.000641177,0.009186254,0.005415427,0.015129903,0.000325506,0.025703596,0.010616657,5.35277E-05,0.000136362,0.013111576,0.011468067,0.002203099,-0.001357086,0.018156278,0.000700292,-0.001394615,0.020739547,0.008980568,0.012119851,0.001792411,0.024463101,0.000966987,0.011399075,0.003009457,0.003975621,0.002698805,0.00211241,0.013876637,-0.003030054,0.013076329,0.003174297,0.01418026,0.009609822,-0.002868379,0.006441819,0.006080823,-0.000947389,0.016037989,0.024530697,0.002478871,0.001845936,0.002763776,-8.61174E-05,6.76091E-05,0.015527873,-0.000267082,0.015146103,0.011935709
-0.011693575,0.000457824,-0.001028575,-0.013057048,-0.00387157,0.004378416,-0.000591801,-0.004329743,0.000885747,0.001263748,-0.001057135,0.002115186,0.00500561,-0.000188926,-0.00289848,0.026961253,0.000834817,0.000284337,0.007783997,-0.013169016,-0.008237071,0.001549782,-0.014048026,-0.009020305,-0.00121723,0.005429111,0.003551346,0.002794583,0.001315695,-0.006847455,-0.000677349,0.003406361,-0.002649557,0.000701641,0.010086181,-0.00524859,0.00298581,0.000438853,-0.001288359,-0.008251133,0.001756573,0.001590061,-7.48369E-05,-0.005212605,0.006274009,0.001127495,0.007999981,-0.000522962,-0.005976339,-0.005644455
-0.012244556,0.005281797,-0.003299342,-0.002951623,-0.014792472,0.005609252,-0.001123162,-0.006554329,0.004056457,0.001398532,-0.003682911,-0.01164351,0.001291446,-0.00082817,-0.002790004,-0.002759661,-0.001527325,-0.003366224,-0.019863387,0.001945141,0.009943953,0.004751189,-0.006323137,0.012228085,-0.005307965,0.000773528,0.000692917,4.58805E-05,-0.000726011,0.016447124,-0.002522237,0.014625294,0.010849157,0.006758918,0.008158209,0.000799896,0.004983225,-0.009889106,-0.000830283,0.008862499,-0.004496181,0.000314764,-0.000740249,0.002747975,0.011197408,0.004260329,0.007534066,-0.000324215,-0.009980405,0.004128776
0.020418358,0.001268964,0.000363972,0.011753349,0.007240999,0.006450901,0.001170808,0.019031658,0.006650064,-0.000864338,0.001033564,0.017324766,0.005128274,0.000534905,-0.000766128,0.023508769,0.001922203,0.001036474,0.008374377,0.001674248,0.004678802,0.005744469,0.01482331,0.025931501,0.012735381,0.000149354,-0.002457158,-0.00018771,0.002318505,-0.002151991,0.000388899,0.010924902,0.003941035,0.003667043,0.013614006,0.002340605,0.00238973,-0.00413066,0.000711519,0.006669986,0.002355902,0.000249845,0.002029923,0.008406484,-0.000941857,0.003313037,0.004978464,0.001292125,0.010606456,0.000696521
0.013457951,-0.000848739,0.00019853,-3.45337E-05,0.011687148,-0.002377231,-0.000232675,-0.002440251,-0.000415041,-0.003331752,0.000271035,0.00971731,0.003025053,-0.002816723,-0.001189662,0.01260565,-7.14627E-05,0.002734999,0.011096564,0.005582467,-0.00198395,-0.003319576,-0.002858534,0.000869667,0.013637244,-0.001631149,-0.003663083,-0.001133075,-0.002511024,0.006800615,0.00266972,-0.008500599,0.002363401,-0.005850728,0.003020782,-0.001284565,-0.001638526,-0.013425503,0.001147058,-0.000762016,0.011352434,-0.000660579,-0.000193861,0.007981255,0.00038743,-0.000231675,-0.002268583,0.000954362,-0.003914404,-0.008134567
